method,ipc,model,regret_mean,regret_std
k-means,10,xgb,-0.2774718051508168,0.5975928727885893
k-means,10,rf,1.2584244272945577,0.44505104056870537
k-means,10,svc,3.4675344066146883,6.828530164659699
k-means,10,logreg,0.09983160868575158,2.5014066215408435
k-means,10,mlp,0.09317750047766803,0.8841854581568561
random,10,xgb,1.0,0.0
random,10,rf,1.0,0.0
random,10,svc,1.0,0.0
random,10,logreg,1.0,0.0
random,10,mlp,1.0,0.0
original,10,xgb,0.0,0.0
original,10,rf,0.0,0.0
original,10,svc,0.0,0.0
original,10,logreg,0.0,0.0
original,10,mlp,0.0,0.0
ag,10,xgb,-0.8996278812176278,2.6769094203368837
ag,10,rf,1.2075731989093297,0.40074934022901293
ag,10,svc,2.018475651754135,4.9087854519070495
ag,10,logreg,0.5655357924423124,1.636546933974418
ag,10,mlp,-0.16503908423552102,4.132144803379378
k_center,10,xgb,0.05096330908136619,1.2845573033998094
k_center,10,rf,3.018255299999918,1.7364548002994604
k_center,10,svc,19.174948567954193,40.28943317206709
k_center,10,logreg,2.8762537090626847,12.309101275248057
k_center,10,mlp,1.1995516627639629,14.018144782544066
lc,10,xgb,-2.66606168138777,8.672990993170519
lc,10,rf,6.051065289418434,2.43652501601021
lc,10,svc,35.173452111327585,73.67662250572732
lc,10,logreg,2.262311272791173,17.10655606238195
lc,10,mlp,-1.3656167306982823,25.184398007781372
craig,10,xgb,-1.8604462991932695,4.448704303327024
craig,10,rf,3.5806865026943653,1.3963035271929725
craig,10,svc,25.776839439460463,52.36301600300143
craig,10,logreg,5.457515908964633,16.858964153417055
craig,10,mlp,0.24796559580202843,13.89774785995699
k-means,20,xgb,0.033085564771910006,1.8867207720774544
k-means,20,rf,1.0780841225248188,0.29778246032190486
k-means,20,svc,1.801399638198577,9.9435410872309
k-means,20,logreg,0.7074840648529915,0.43952083583864493
k-means,20,mlp,2.3729339283192648,1.9206204722753775
random,20,xgb,1.0,0.0
random,20,rf,1.0,0.0
random,20,svc,1.0,0.0
random,20,logreg,1.0,0.0
random,20,mlp,1.0,0.0
original,20,xgb,0.0,0.0
original,20,rf,0.0,0.0
original,20,svc,0.0,0.0
original,20,logreg,0.0,0.0
original,20,mlp,0.0,0.0
ag,20,xgb,0.00861310316584316,1.7851355668826139
ag,20,rf,1.0983364197402747,0.20997854184686662
ag,20,svc,4.022804615143755,5.435184411590543
ag,20,logreg,0.43163884561378313,0.3096377593444357
ag,20,mlp,2.6014106263552925,1.1056654765797347
k_center,20,xgb,1.0056403508093297,0.6448514266464677
k_center,20,rf,2.011593649978805,1.0331543144744406
k_center,20,svc,8.174211848093865,35.91774176097421
k_center,20,logreg,-2.863424979412763,1.3810000062813266
k_center,20,mlp,7.4884949711785875,12.162572793740635
lc,20,xgb,0.7405496006588163,22.948839598536427
lc,20,rf,7.184234221246015,1.908155161199884
lc,20,svc,10.971618651292768,58.40536512944224
lc,20,logreg,-6.0111457123885605,2.1326621966670594
lc,20,mlp,12.168065756395267,23.71000592990417
craig,20,xgb,1.067299892240861,10.123749421127581
craig,20,rf,4.117037108686185,1.2231208947550163
craig,20,svc,-5.949696501121871,22.233103290205374
craig,20,logreg,-1.316960462681489,2.0747276092481144
craig,20,mlp,4.255426442895858,9.104094392128237
k-means,30,xgb,0.8687629305578854,0.09646316229885138
k-means,30,rf,1.4082964428231666,0.8530304071880027
k-means,30,svc,-1.0697257987952622,2.539418825275747
k-means,30,logreg,1.0722536923153918,0.24521551149431967
k-means,30,mlp,8.304877406875233,10.034835875417949
random,30,xgb,1.0,0.0
random,30,rf,1.0,0.0
random,30,svc,1.0,0.0
random,30,logreg,1.0,0.0
random,30,mlp,1.0,0.0
original,30,xgb,0.0,0.0
original,30,rf,0.0,0.0
original,30,svc,0.0,0.0
original,30,logreg,0.0,0.0
original,30,mlp,0.0,0.0
ag,30,xgb,0.8321655039349636,0.09203351036713275
ag,30,rf,1.2465577996384483,0.5663654464463032
ag,30,svc,0.10724261941701203,2.604870161222682
ag,30,logreg,0.9165641810529406,0.42745384599317493
ag,30,mlp,-3.914575919529772,12.081221151494942
k_center,30,xgb,-1.8266525244129483,1.7861018840972207
k_center,30,rf,1.6335687764388958,0.4056710899357039
k_center,30,svc,-11.146919898744223,12.724164747511582
k_center,30,logreg,-1.794368989032114,0.25345087655404835
k_center,30,mlp,15.278871706521556,84.44299304496853
lc,30,xgb,-9.36074939786991,1.0665224566348863
lc,30,rf,9.32966806992393,3.7170050903879583
lc,30,svc,-18.41932997989315,21.885441592013596
lc,30,logreg,-4.22963671658553,0.919778452951395
lc,30,mlp,14.776397125867728,217.67841111519164
craig,30,xgb,-3.158427685737242,1.6980686811177224
craig,30,rf,4.2613651878327,2.0180244082183827
craig,30,svc,-10.068011377956386,11.23855010809708
craig,30,logreg,-0.659522947189543,0.2490258453323906
craig,30,mlp,-12.994162421822875,48.85045899445007
k-means,40,xgb,1.4660543149035075,0.6219777956793813
k-means,40,rf,1.1539921433330325,0.4782045606684586
k-means,40,svc,6.177014077586704,12.95225444928417
k-means,40,logreg,1.0907602554487217,0.41669673233415516
k-means,40,mlp,-4.549859368834065,9.317074775300338
random,40,xgb,1.0,0.0
random,40,rf,1.0,0.0
random,40,svc,1.0,0.0
random,40,logreg,1.0,0.0
random,40,mlp,1.0,0.0
original,40,xgb,0.0,0.0
original,40,rf,0.0,0.0
original,40,svc,0.0,0.0
original,40,logreg,0.0,0.0
original,40,mlp,0.0,0.0
ag,40,xgb,1.5802550522819125,0.5417192263177394
ag,40,rf,0.8945486322062572,0.3576067912092248
ag,40,svc,-19.688076986143074,37.612111392627035
ag,40,logreg,0.7198703257074688,0.4003824568331981
ag,40,mlp,-0.7537304784108064,2.3629884527729508
k_center,40,xgb,-0.4240598964858755,0.7309827853562232
k_center,40,rf,2.0891032990350835,0.5524468411255354
k_center,40,svc,-63.082210523261004,131.85119131397678
k_center,40,logreg,-1.7296043397123555,0.28303875556199665
k_center,40,mlp,21.9549827267174,37.89066226831346
lc,40,xgb,-14.56821501118734,5.346786462691103
lc,40,rf,10.303115337059975,3.5505309439352972
lc,40,svc,-118.11151156695698,250.94872819394757
lc,40,logreg,-4.047779665533291,0.6742169212615162
lc,40,mlp,54.3622110259857,86.50357866224579
craig,40,xgb,-6.094341790173532,1.3407620275927679
craig,40,rf,5.585000800755296,1.8085996825928479
craig,40,svc,-93.99518012715022,201.85161928786977
craig,40,logreg,-1.4827225952412202,0.9507868639363054
craig,40,mlp,28.438972196815747,37.8675539178797
